robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2020-03-30,WIN,VENDA,264.00,0,10:00:14,Reversao,16,264.00,0
alaska-&-square,2018-03-13,WIN,VENDA,264.00,0,10:35:20,Reversao,16,264.00,0
alaska-&-square,2018-03-13,WIN,VENDA,80.00,0,14:42:40,Reversao,4,80.00,0
alaska-&-square,2018-03-13,WIN,VENDA,80.00,0,16:38:40,Reversao,4,80.00,0
alaska-&-square,2018-03-14,WIN,VENDA,264.00,0,15:37:40,Reversao,16,264.00,0
alaska-&-square,2018-03-16,WIN,VENDA,80.00,0,10:08:40,Reversao,4,80.00,0
alaska-&-square,2018-03-16,WIN,VENDA,80.00,0,12:14:40,Reversao,4,80.00,0
alaska-&-square,2022-03-21,WIN,VENDA,-920.00,0,10:01:00,Reversao,16,-920.00,0
alaska-&-square,2025-03-17,WIN,VENDA,-920.00,0,10:12,Reversao,16,-920.00,0
alaska-&-square,2018-03-20,WIN,VENDA,80.00,0,14:33:40,Reversao,4,80.00,0
alaska-&-square,2018-03-21,WIN,VENDA,264.00,0,10:08:20,Reversao,16,264.00,0
alaska-&-square,2018-03-22,WIN,VENDA,80.00,0,10:03:40,Reversao,4,80.00,0
alaska-&-square,2018-03-22,WIN,VENDA,264.00,0,15:35:40,Reversao,16,264.00,0
alaska-&-square,2018-03-23,WIN,VENDA,80.00,0,12:41:40,Reversao,4,80.00,0
alaska-&-square,2018-03-23,WIN,VENDA,80.00,0,15:45:40,Reversao,4,80.00,0
alaska-&-square,2019-03-18,WIN,VENDA,264.00,0,10:12:40,Reversao,16,264.00,0
alaska-&-square,2018-03-27,WIN,VENDA,80.00,0,13:29:40,Reversao,4,80.00,0
alaska-&-square,2018-03-28,WIN,VENDA,-920.00,0,11:14:40,Reversao,16,-920.00,0
alaska-&-square,2018-03-28,WIN,VENDA,264.00,0,11:24:40,Reversao,16,264.00,0
alaska-&-square,2018-03-28,WIN,VENDA,80.00,0,16:04:40,Reversao,4,80.00,0
alaska-&-square,2018-04-02,WIN,VENDA,80.00,0,10:05:40,Reversao,4,80.00,0
alaska-&-square,2018-04-02,WIN,VENDA,80.00,0,11:02:40,Reversao,4,80.00,0
alaska-&-square,2018-04-02,WIN,VENDA,264.00,0,14:26:40,Reversao,16,264.00,0
alaska-&-square,2020-04-14,WIN,VENDA,264.00,0,10:01:04,Reversao,16,264.00,0
alaska-&-square,2020-04-07,WIN,VENDA,80.00,0,10:01:10,Reversao,4,80.00,0
alaska-&-square,2022-04-12,WIN,VENDA,264.00,0,10:09:00,Reversao,16,264.00,0
alaska-&-square,2018-04-04,WIN,VENDA,80.00,0,13:51:40,Reversao,4,80.00,0
alaska-&-square,2018-04-04,WIN,VENDA,-920.00,0,15:37:40,Reversao,16,-920.00,0
alaska-&-square,2018-04-05,WIN,VENDA,80.00,0,13:33:20,Reversao,4,80.00,0
alaska-&-square,2018-04-05,WIN,VENDA,264.00,0,16:36:20,Reversao,16,264.00,0
alaska-&-square,2018-04-06,WIN,VENDA,80.00,0,10:08:40,Reversao,4,80.00,0
alaska-&-square,2018-04-06,WIN,VENDA,80.00,0,11:03:40,Reversao,4,80.00,0
alaska-&-square,2018-04-06,WIN,VENDA,80.00,0,13:19:40,Reversao,4,80.00,0
alaska-&-square,2018-04-06,WIN,VENDA,80.00,0,14:49:40,Reversao,4,80.00,0
alaska-&-square,2018-04-09,WIN,VENDA,80.00,0,12:43:20,Reversao,4,80.00,0
alaska-&-square,2018-04-09,WIN,VENDA,80.00,0,16:14:40,Reversao,4,80.00,0
alaska-&-square,2024-04-09,WIN,VENDA,-920.00,0,10:17:00,Reversao,16,-920.00,0
alaska-&-square,2021-04-13,WIN,VENDA,80.00,0,10:17:04,Reversao,4,80.00,0
alaska-&-square,2018-04-11,WIN,VENDA,264.00,0,13:45:40,Reversao,16,264.00,0
alaska-&-square,2018-04-11,WIN,VENDA,264.00,0,16:15:40,Reversao,16,264.00,0
alaska-&-square,2018-04-12,WIN,VENDA,80.00,0,14:27:40,Reversao,4,80.00,0
alaska-&-square,2018-04-16,WIN,VENDA,80.00,0,10:03:40,Reversao,4,80.00,0
alaska-&-square,2018-04-16,WIN,VENDA,264.00,0,14:30:40,Reversao,16,264.00,0
alaska-&-square,2018-04-19,WIN,VENDA,80.00,0,11:01:40,Reversao,4,80.00,0
alaska-&-square,2018-04-19,WIN,VENDA,264.00,0,12:03:40,Reversao,16,264.00,0
alaska-&-square,2018-04-19,WIN,VENDA,80.00,0,14:06:40,Reversao,4,80.00,0
alaska-&-square,2018-04-23,WIN,VENDA,80.00,0,15:14:40,Reversao,4,80.00,0
alaska-&-square,2019-04-02,WIN,VENDA,80.00,0,10:28:40,Reversao,4,80.00,0
alaska-&-square,2018-04-25,WIN,VENDA,80.00,0,14:12:40,Reversao,4,80.00,0
alaska-&-square,2018-04-27,WIN,VENDA,264.00,0,10:38:40,Reversao,16,264.00,0
alaska-&-square,2018-04-27,WIN,VENDA,80.00,0,14:17:40,Reversao,4,80.00,0
alaska-&-square,2018-04-27,WIN,VENDA,80.00,0,16:28:40,Reversao,4,80.00,0
alaska-&-square,2018-04-30,WIN,VENDA,80.00,0,15:08:20,Reversao,4,80.00,0
alaska-&-square,2018-05-02,WIN,VENDA,80.00,0,13:20:20,Reversao,4,80.00,0
alaska-&-square,2018-05-02,WIN,VENDA,80.00,0,16:21:40,Reversao,4,80.00,0
alaska-&-square,2018-05-03,WIN,VENDA,80.00,0,11:19:40,Reversao,4,80.00,0
alaska-&-square,2018-05-03,WIN,VENDA,264.00,0,14:05:40,Reversao,16,264.00,0
alaska-&-square,2018-05-03,WIN,VENDA,264.00,0,15:27:40,Reversao,16,264.00,0
alaska-&-square,2018-05-07,WIN,VENDA,264.00,0,11:41:40,Reversao,16,264.00,0
alaska-&-square,2018-05-07,WIN,VENDA,80.00,0,15:44:40,Reversao,4,80.00,0
alaska-&-square,2018-05-08,WIN,VENDA,80.00,0,10:48:40,Reversao,4,80.00,0
alaska-&-square,2018-05-08,WIN,VENDA,80.00,0,12:06:40,Reversao,4,80.00,0
alaska-&-square,2018-05-08,WIN,VENDA,80.00,0,15:39:40,Reversao,4,80.00,0
alaska-&-square,2018-05-09,WIN,VENDA,-920.00,0,15:20:40,Reversao,16,-920.00,0
alaska-&-square,2018-05-11,WIN,VENDA,80.00,0,11:39:40,Reversao,4,80.00,0
alaska-&-square,2018-05-11,WIN,VENDA,80.00,0,15:55:40,Reversao,4,80.00,0
